iter	Passed	Remaining
880	14214	1920
881	14232	1904
882	14249	1888
883	14267	1872
884	14284	1856
885	14300	1840
886	14317	1824
887	14333	1807
888	14351	1791
889	14364	1775
890	14381	1759
891	14397	1743
892	14416	1727
893	14433	1711
894	14450	1695
895	14464	1678
896	14480	1662
897	14496	1646
898	14512	1630
899	14531	1614
900	14547	1598
901	14565	1582
902	14580	1566
903	14596	1550
904	14611	1533
905	14627	1517
906	14642	1501
907	14658	1485
908	14673	1468
909	14689	1452
910	14705	1436
911	14720	1420
912	14736	1404
913	14749	1387
914	14767	1371
915	14781	1355
916	14798	1339
917	14814	1323
918	14829	1307
919	14849	1291
920	14866	1275
921	14882	1259
922	14899	1242
923	14913	1226
924	14933	1210
925	14949	1194
926	14965	1178
927	14983	1162
928	14999	1146
929	15018	1130
930	15035	1114
931	15053	1098
932	15071	1082
933	15089	1066
934	15104	1050
935	15118	1033
936	15137	1017
937	15152	1001
938	15166	985
939	15187	969
940	15203	953
941	15224	937
942	15238	921
943	15255	904
944	15269	888
945	15282	872
946	15295	856
947	15311	839
948	15327	823
949	15345	807
950	15363	791
951	15381	775
952	15397	759
953	15412	743
954	15428	726
955	15444	710
956	15458	694
957	15473	678
958	15487	662
959	15502	645
960	15518	629
961	15532	613
962	15547	597
963	15564	581
964	15579	565
965	15594	548
966	15611	532
967	15629	516
968	15648	500
969	15663	484
970	15676	468
971	15690	451
972	15702	435
973	15719	419
974	15735	403
975	15749	387
976	15765	371
977	15781	354
978	15800	338
979	15814	322
980	15829	306
981	15848	290
982	15867	274
983	15886	258
984	15904	242
985	15919	226
986	15936	209
987	15952	193
988	15970	177
989	15988	161
990	16006	145
991	16022	129
992	16037	113
993	16054	96
994	16073	80
995	16090	64
996	16104	48
997	16119	32
998	16136	16
999	16151	0
